time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-25 00:00:00+00:00,42,18,69,2
2024-04-26 00:00:00+00:00,0,0,2,1
2024-04-27 00:00:00+00:00,2,1,0,0
2024-05-01 00:00:00+00:00,4,3,0,0
2024-05-02 00:00:00+00:00,1,1,0,0
2024-05-06 00:00:00+00:00,1,1,0,0
2024-05-07 00:00:00+00:00,0,0,1,1
2024-05-17 00:00:00+00:00,2,2,0,0
2024-05-18 00:00:00+00:00,3,3,6,1
2024-05-19 00:00:00+00:00,1,1,0,0
2024-06-01 00:00:00+00:00,1,1,0,0
2024-06-03 00:00:00+00:00,1,1,0,0
2024-06-06 00:00:00+00:00,1,1,2,1
2024-06-09 00:00:00+00:00,0,0,2,1
2024-06-12 00:00:00+00:00,1,1,0,0
2024-06-19 00:00:00+00:00,1,1,0,0
2024-06-21 00:00:00+00:00,2,1,0,0
2024-07-23 00:00:00+00:00,1,1,0,0
