time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-16 00:00:00+00:00,8,1,0,0
2024-04-21 00:00:00+00:00,0,0,1,1
2024-04-26 00:00:00+00:00,4,1,0,0
2024-04-30 00:00:00+00:00,1,1,0,0
2024-05-02 00:00:00+00:00,1,1,0,0
2024-05-06 00:00:00+00:00,1,1,0,0
2024-05-07 00:00:00+00:00,1,1,0,0
2024-05-10 00:00:00+00:00,1,1,0,0
2024-05-23 00:00:00+00:00,3,1,0,0
2024-05-29 00:00:00+00:00,5,4,0,0
2024-06-01 00:00:00+00:00,1,1,0,0
2024-06-02 00:00:00+00:00,1,1,0,0
2024-06-03 00:00:00+00:00,1,1,0,0
2024-06-04 00:00:00+00:00,1,1,0,0
2024-06-08 00:00:00+00:00,1,1,0,0
2024-06-12 00:00:00+00:00,2,2,0,0
2024-06-24 00:00:00+00:00,1,1,0,0
2024-07-31 00:00:00+00:00,1,1,0,0
2024-08-05 00:00:00+00:00,1,1,2,2
2024-08-06 00:00:00+00:00,2,2,0,0
2024-08-09 00:00:00+00:00,1,1,0,0
2024-08-29 00:00:00+00:00,1,1,0,0
2024-08-31 00:00:00+00:00,1,1,0,0
2024-09-02 00:00:00+00:00,1,1,0,0
2024-09-11 00:00:00+00:00,1,1,0,0
2024-09-13 00:00:00+00:00,0,0,1,1
2024-09-20 00:00:00+00:00,2,2,0,0
2024-10-16 00:00:00+00:00,1,1,0,0
2024-12-04 00:00:00+00:00,1,1,0,0
2024-12-10 00:00:00+00:00,1,1,0,0
2025-01-05 00:00:00+00:00,1,1,0,0
2025-01-30 00:00:00+00:00,1,1,0,0
2025-02-10 00:00:00+00:00,1,1,0,0
2025-02-22 00:00:00+00:00,1,1,0,0
2025-03-10 00:00:00+00:00,1,1,0,0
2025-03-17 00:00:00+00:00,1,1,0,0
2025-03-31 00:00:00+00:00,1,1,0,0
2025-04-07 00:00:00+00:00,1,1,0,0
2025-04-09 00:00:00+00:00,1,1,0,0
