time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-16 00:00:00+00:00,8,1,0,0
2024-04-21 00:00:00+00:00,0,0,1,1
2024-04-26 00:00:00+00:00,4,1,0,0
2024-04-30 00:00:00+00:00,1,1,0,0
2024-05-02 00:00:00+00:00,1,1,0,0
2024-05-06 00:00:00+00:00,1,1,0,0
2024-05-07 00:00:00+00:00,1,1,0,0
2024-05-10 00:00:00+00:00,1,1,0,0
2024-05-23 00:00:00+00:00,3,1,0,0
2024-05-29 00:00:00+00:00,5,4,0,0
2024-06-01 00:00:00+00:00,1,1,0,0
2024-06-02 00:00:00+00:00,1,1,0,0
2024-06-03 00:00:00+00:00,1,1,0,0
2024-06-04 00:00:00+00:00,1,1,0,0
2024-06-08 00:00:00+00:00,1,1,0,0
2024-06-12 00:00:00+00:00,2,2,0,0
2024-06-24 00:00:00+00:00,1,1,0,0
2024-07-31 00:00:00+00:00,1,1,0,0
2024-08-05 00:00:00+00:00,1,1,2,2
2024-08-06 00:00:00+00:00,2,2,0,0
2024-08-09 00:00:00+00:00,1,1,0,0
2024-08-29 00:00:00+00:00,1,1,0,0
2024-08-31 00:00:00+00:00,1,1,0,0
2024-09-02 00:00:00+00:00,1,1,0,0
2024-09-11 00:00:00+00:00,1,1,0,0
2024-09-13 00:00:00+00:00,0,0,1,1
2024-09-20 00:00:00+00:00,2,2,0,0
2024-10-16 00:00:00+00:00,1,1,0,0
2024-12-04 00:00:00+00:00,1,1,0,0
2024-12-10 00:00:00+00:00,1,1,0,0
2025-01-05 00:00:00+00:00,1,1,0,0
2025-01-30 00:00:00+00:00,1,1,0,0
2025-02-10 00:00:00+00:00,1,1,0,0
2025-02-22 00:00:00+00:00,1,1,0,0
2025-03-10 00:00:00+00:00,1,1,0,0
2025-03-17 00:00:00+00:00,1,1,0,0
2025-03-31 00:00:00+00:00,1,1,0,0
2025-04-07 00:00:00+00:00,1,1,0,0
2025-04-09 00:00:00+00:00,1,1,0,0
2025-04-15 00:00:00+00:00,1,1,0,0
2025-04-23 00:00:00+00:00,1,1,0,0
2025-04-29 00:00:00+00:00,1,1,0,0
2025-05-19 00:00:00+00:00,0,0,1,1
2025-05-24 00:00:00+00:00,1,1,0,0
2025-06-06 00:00:00+00:00,1,1,0,0
2025-06-14 00:00:00+00:00,1,1,0,0
2025-07-15 00:00:00+00:00,1,1,0,0
2025-07-16 00:00:00+00:00,5,5,0,0
2025-07-17 00:00:00+00:00,1,1,0,0
2025-07-19 00:00:00+00:00,2,2,0,0
2025-07-20 00:00:00+00:00,1,1,0,0
2025-07-30 00:00:00+00:00,1,1,0,0
2025-08-09 00:00:00+00:00,1,1,0,0
2025-08-12 00:00:00+00:00,1,1,0,0
2025-08-21 00:00:00+00:00,1,1,0,0
2025-08-23 00:00:00+00:00,1,1,0,0
2025-08-31 00:00:00+00:00,1,1,0,0
2025-09-05 00:00:00+00:00,1,1,0,0
2025-09-10 00:00:00+00:00,1,1,0,0
2025-09-11 00:00:00+00:00,2,2,1,1
2025-09-13 00:00:00+00:00,5,5,0,0
2025-09-14 00:00:00+00:00,2,2,0,0
2025-09-17 00:00:00+00:00,1,1,0,0
2025-09-18 00:00:00+00:00,1,1,0,0
2025-09-19 00:00:00+00:00,1,1,0,0
2025-09-20 00:00:00+00:00,2,2,0,0
2025-09-21 00:00:00+00:00,0,0,2,1
2025-09-27 00:00:00+00:00,1,1,0,0
2025-10-01 00:00:00+00:00,1,1,0,0
2025-10-02 00:00:00+00:00,1,1,0,0
2025-10-04 00:00:00+00:00,1,1,0,0
2025-10-09 00:00:00+00:00,1,1,0,0
2025-10-10 00:00:00+00:00,1,1,0,0
2025-10-11 00:00:00+00:00,2,2,0,0
2025-10-14 00:00:00+00:00,5,1,0,0
2025-10-18 00:00:00+00:00,11,11,0,0
2025-10-19 00:00:00+00:00,2,2,0,0
2025-10-21 00:00:00+00:00,1,1,0,0
2025-10-28 00:00:00+00:00,1,1,0,0
2025-10-29 00:00:00+00:00,2,2,0,0
2025-10-30 00:00:00+00:00,1,1,0,0
2025-11-02 00:00:00+00:00,1,1,0,0
2025-11-05 00:00:00+00:00,1,1,0,0
2025-11-08 00:00:00+00:00,2,1,0,0
2025-11-16 00:00:00+00:00,1,1,0,0
2025-12-20 00:00:00+00:00,0,0,0,0
2025-12-21 00:00:00+00:00,1,1,0,0
2025-12-22 00:00:00+00:00,0,0,0,0
2025-12-23 00:00:00+00:00,0,0,0,0
2025-12-24 00:00:00+00:00,0,0,0,0
2025-12-25 00:00:00+00:00,1,1,0,0
2025-12-26 00:00:00+00:00,0,0,0,0
2025-12-27 00:00:00+00:00,1,1,0,0
2025-12-28 00:00:00+00:00,0,0,0,0
2025-12-29 00:00:00+00:00,0,0,0,0
2025-12-30 00:00:00+00:00,1,1,0,0
2025-12-31 00:00:00+00:00,1,1,0,0
2026-01-01 00:00:00+00:00,0,0,0,0
2026-01-02 00:00:00+00:00,2,1,0,0
2026-01-03 00:00:00+00:00,0,0,0,0
2026-01-04 00:00:00+00:00,0,0,0,0
2026-01-05 00:00:00+00:00,0,0,0,0
2026-01-06 00:00:00+00:00,0,0,0,0
2026-01-07 00:00:00+00:00,0,0,0,0
2026-01-08 00:00:00+00:00,0,0,0,0
2026-01-09 00:00:00+00:00,0,0,0,0
2026-01-10 00:00:00+00:00,0,0,0,0
2026-01-11 00:00:00+00:00,0,0,0,0
2026-01-12 00:00:00+00:00,1,1,0,0
2026-01-13 00:00:00+00:00,0,0,0,0
2026-01-14 00:00:00+00:00,0,0,0,0
2026-01-15 00:00:00+00:00,0,0,0,0
2026-01-16 00:00:00+00:00,0,0,0,0
2026-01-17 00:00:00+00:00,0,0,0,0
2026-01-18 00:00:00+00:00,1,1,0,0
2026-01-19 00:00:00+00:00,0,0,0,0
2026-01-20 00:00:00+00:00,1,1,0,0
2026-01-21 00:00:00+00:00,0,0,0,0
2026-01-22 00:00:00+00:00,0,0,0,0
2026-01-23 00:00:00+00:00,0,0,0,0
2026-01-24 00:00:00+00:00,0,0,0,0
2026-01-25 00:00:00+00:00,2,2,0,0
2026-01-26 00:00:00+00:00,1,1,0,0
2026-01-27 00:00:00+00:00,0,0,0,0
2026-01-28 00:00:00+00:00,0,0,0,0
2026-01-29 00:00:00+00:00,2,2,0,0
2026-01-30 00:00:00+00:00,1,1,0,0
2026-01-31 00:00:00+00:00,0,0,0,0
2026-02-01 00:00:00+00:00,0,0,0,0
2026-02-02 00:00:00+00:00,0,0,0,0
2026-02-03 00:00:00+00:00,0,0,0,0
2026-02-04 00:00:00+00:00,0,0,0,0
2026-02-05 00:00:00+00:00,0,0,0,0
2026-02-06 00:00:00+00:00,0,0,0,0
2026-02-07 00:00:00+00:00,1,1,0,0
2026-02-08 00:00:00+00:00,1,1,0,0
2026-02-09 00:00:00+00:00,0,0,0,0
2026-02-10 00:00:00+00:00,1,1,0,0
2026-02-11 00:00:00+00:00,0,0,0,0
2026-02-12 00:00:00+00:00,1,1,0,0
2026-02-13 00:00:00+00:00,0,0,0,0
