time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-28 00:00:00+00:00,0,0,2,1
2024-05-05 00:00:00+00:00,1,1,0,0
2024-05-06 00:00:00+00:00,1,1,0,0
2024-05-22 00:00:00+00:00,2,1,0,0
2024-05-23 00:00:00+00:00,2,1,0,0
2024-05-24 00:00:00+00:00,4,1,0,0
2024-05-27 00:00:00+00:00,1,1,0,0
2024-05-30 00:00:00+00:00,0,0,1,1
2024-06-06 00:00:00+00:00,1,1,0,0
2024-08-23 00:00:00+00:00,2,2,0,0
2024-09-14 00:00:00+00:00,0,0,5,1
2024-09-29 00:00:00+00:00,0,0,1,1
2024-11-04 00:00:00+00:00,1,1,0,0
2024-11-08 00:00:00+00:00,1,1,0,0
2024-11-27 00:00:00+00:00,1,1,0,0
2024-11-30 00:00:00+00:00,1,1,0,0
2025-01-23 00:00:00+00:00,1,1,0,0
2025-02-07 00:00:00+00:00,1,1,0,0
2025-02-22 00:00:00+00:00,1,1,0,0
2025-03-10 00:00:00+00:00,1,1,0,0
2025-03-15 00:00:00+00:00,1,1,0,0
2025-03-24 00:00:00+00:00,1,1,0,0
2025-03-31 00:00:00+00:00,1,1,0,0
2025-04-22 00:00:00+00:00,1,1,0,0
