time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-28 00:00:00+00:00,0,0,4,1
2024-06-02 00:00:00+00:00,1,1,0,0
2024-06-06 00:00:00+00:00,1,1,0,0
2024-06-25 00:00:00+00:00,1,1,1,1
2024-07-30 00:00:00+00:00,1,1,0,0
2024-08-13 00:00:00+00:00,1,1,0,0
2024-08-28 00:00:00+00:00,0,0,4,1
2024-09-04 00:00:00+00:00,1,1,0,0
2024-09-06 00:00:00+00:00,0,0,2,1
2024-09-24 00:00:00+00:00,0,0,2,1
2024-09-25 00:00:00+00:00,0,0,4,1
2024-10-07 00:00:00+00:00,0,0,1,1
2024-10-10 00:00:00+00:00,0,0,1,1
2024-10-15 00:00:00+00:00,1,1,0,0
2024-11-18 00:00:00+00:00,0,0,5,1
2024-11-25 00:00:00+00:00,1,1,0,0
2024-12-05 00:00:00+00:00,1,1,0,0
2024-12-19 00:00:00+00:00,0,0,4,2
2025-02-01 00:00:00+00:00,1,1,0,0
2025-02-10 00:00:00+00:00,1,1,0,0
2025-02-24 00:00:00+00:00,0,0,7,2
2025-03-05 00:00:00+00:00,1,1,0,0
2025-03-09 00:00:00+00:00,1,1,0,0
2025-03-14 00:00:00+00:00,0,0,5,1
2025-03-16 00:00:00+00:00,1,1,0,0
2025-03-27 00:00:00+00:00,1,1,0,0
2025-03-30 00:00:00+00:00,1,1,0,0
2025-03-31 00:00:00+00:00,1,1,0,0
2025-04-01 00:00:00+00:00,1,1,0,0
2025-04-22 00:00:00+00:00,1,1,0,0
2025-06-05 00:00:00+00:00,1,1,0,0
2025-06-16 00:00:00+00:00,1,1,0,0
